"b'Sr. Analyst, Digital Analytics'",b'Rogers Communications',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sr-analyst-digital-analytics-at-rogers-communications-3395753845?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=R3cM2KPAtuQnjVvJ1fi%2BrQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst - Canadian Tire Corporation',b'Canadian Tire Corporation',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-canadian-tire-corporation-at-canadian-tire-corporation-3425427490?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=Tw5NOO2WtQKoHKK7nCk7Hg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst \xe2\x80\x93 SAS/Tableau',b'BeachHead',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-%E2%80%93-sas-tableau-at-beachhead-3435488407?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=6kJsftqBAdCyvsn6JaX9iA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Engineer (Intern/Co-op), Lighthouse Canada'",b'KPMG Canada',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-engineer-intern-co-op-lighthouse-canada-at-kpmg-canada-3400055195?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=7I8Icrx5i%2FKobZwhDU%2FNJQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst - QA Tester',b'Experfy',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-qa-tester-at-experfy-3435344632?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=u1Hfhf4xVGCJL3yzeOmSsg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Consultant, Data Analytics, Insights & Reporting'",b'CIBC',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/consultant-data-analytics-insights-reporting-at-cibc-3432978361?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=3WrLUdS%2FHXXQPfCTlVlTig%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Financial Data Analyst',b'Propel Holdings',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/financial-data-analyst-at-propel-holdings-3428142546?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=mYxDVN%2FujE1DCriQrbrikw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Data Analyst',b'HOOPP (Healthcare of Ontario Pension Plan)',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/business-data-analyst-at-hoopp-healthcare-of-ontario-pension-plan-3385047009?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=lwzxk4jgrZMm8hAQw4loyQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Criminal Intelligence Analyst',b'Toronto Police Service',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/criminal-intelligence-analyst-at-toronto-police-service-3422118374?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=06XD6cm%2BnS8adPV3gBMISw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Engineer (Spark)',b'Mariner Innovations',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-engineer-spark-at-mariner-innovations-3437908160?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=C4qtZdNEbUrhv5Xb0aMgKg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
